Entity,Code,Year,nuclwarh_firststr_area
China,CHN,1964,6.046869
China,CHN,1965,30.234344
China,CHN,1966,109.74947
China,CHN,1967,128.79591
China,CHN,1968,1758.5328
China,CHN,1969,2225.3145
China,CHN,1970,2890.2366
China,CHN,1971,3845.6528
China,CHN,1972,6684.3643
China,CHN,1973,9123.987
China,CHN,1974,11045.375
China,CHN,1975,11962.699
China,CHN,1976,11962.698
China,CHN,1977,11962.698
China,CHN,1978,12901.876
China,CHN,1979,13822.007
China,CHN,1980,14761.183
China,CHN,1981,15339.706
China,CHN,1982,15920.695
China,CHN,1983,16572.186
China,CHN,1984,17284.531
China,CHN,1985,17073.922
China,CHN,1986,17218.05
China,CHN,1987,18241.41
China,CHN,1988,18091.816
China,CHN,1989,18738.76
China,CHN,1990,18042.645
China,CHN,1991,17381.494
China,CHN,1992,17381.494
China,CHN,1993,17381.494
China,CHN,1994,17381.494
China,CHN,1995,17381.494
China,CHN,1996,18256.205
China,CHN,1997,18077.11
China,CHN,1998,18077.11
China,CHN,1999,17575.615
China,CHN,2000,17575.615
China,CHN,2001,17844.256
China,CHN,2002,17809.29
China,CHN,2003,17809.29
China,CHN,2004,17809.29
China,CHN,2005,17809.29
China,CHN,2006,8436.48
China,CHN,2007,8760.845
China,CHN,2008,9094.757
China,CHN,2009,9210.601
China,CHN,2010,8640.732
France,FRA,1960,0
France,FRA,1961,0
France,FRA,1962,0
France,FRA,1963,0
France,FRA,1964,31.694557
France,FRA,1965,253.55646
France,FRA,1966,285.25104
France,FRA,1967,285.25104
France,FRA,1968,285.25104
France,FRA,1969,285.25104
France,FRA,1970,285.25104
France,FRA,1971,398.45297
France,FRA,1972,1032.7583
France,FRA,1973,1553.8617
France,FRA,1974,1553.8617
France,FRA,1975,1553.8617
France,FRA,1976,1522.167
France,FRA,1977,2349.367
France,FRA,1978,3063.365
France,FRA,1979,3063.365
France,FRA,1980,4027.6565
France,FRA,1981,4027.6565
France,FRA,1982,4027.6565
France,FRA,1983,4461.262
France,FRA,1984,4461.262
France,FRA,1985,5035.227
France,FRA,1986,5095.0034
France,FRA,1987,5760.44
France,FRA,1988,5804.3696
France,FRA,1989,5804.3696
France,FRA,1990,6378.3345
France,FRA,1991,6952.2993
France,FRA,1992,6952.2993
France,FRA,1993,6952.2993
France,FRA,1994,6952.2993
France,FRA,1995,6952.2993
France,FRA,1996,6620.4233
France,FRA,1997,6315.383
France,FRA,1998,6315.383
France,FRA,1999,6315.383
France,FRA,2000,5983.507
France,FRA,2001,4698.186
France,FRA,2002,4698.186
France,FRA,2003,4698.186
France,FRA,2004,4698.186
France,FRA,2005,4366.31
France,FRA,2006,4366.31
France,FRA,2007,4366.31
France,FRA,2008,3831.6658
France,FRA,2009,3831.6658
France,FRA,2010,3831.6658
India,IND,1988,0
India,IND,1989,0
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,9.4334955
India,IND,1995,9.4334955
India,IND,1996,9.4334955
India,IND,1997,9.4334955
India,IND,1998,9.4334955
India,IND,1999,25.155989
India,IND,2000,40.87848
India,IND,2001,56.600967
India,IND,2002,72.32346
India,IND,2003,98.25227
India,IND,2004,113.97475
India,IND,2005,157.76462
India,IND,2006,173.4871
India,IND,2007,208.2565
India,IND,2008,239.70148
India,IND,2009,273.69803
India,IND,2010,305.14304
Pakistan,PAK,1990,0
Pakistan,PAK,1991,0
Pakistan,PAK,1992,0
Pakistan,PAK,1993,0
Pakistan,PAK,1994,0
Pakistan,PAK,1995,5.419693
Pakistan,PAK,1996,5.419693
Pakistan,PAK,1997,5.419693
Pakistan,PAK,1998,5.419693
Pakistan,PAK,1999,21.678772
Pakistan,PAK,2000,37.93785
Pakistan,PAK,2001,54.196934
Pakistan,PAK,2002,70.45602
Pakistan,PAK,2003,161.21216
Pakistan,PAK,2004,279.4592
Pakistan,PAK,2005,339.42743
Pakistan,PAK,2006,399.39563
Pakistan,PAK,2007,499.34262
Pakistan,PAK,2008,599.2896
Pakistan,PAK,2009,658.9484
Pakistan,PAK,2010,723.7385
Russia,RUS,1949,0
Russia,RUS,1950,0
Russia,RUS,1951,0
Russia,RUS,1952,0
Russia,RUS,1953,0
Russia,RUS,1954,0
Russia,RUS,1955,0
Russia,RUS,1956,6408.9155
Russia,RUS,1957,8369.761
Russia,RUS,1958,16780.262
Russia,RUS,1959,21697.84
Russia,RUS,1960,37706.58
Russia,RUS,1961,59391.914
Russia,RUS,1962,71867.5
Russia,RUS,1963,91214.84
Russia,RUS,1964,107734.48
Russia,RUS,1965,113837.66
Russia,RUS,1966,119661.78
Russia,RUS,1967,148860.02
Russia,RUS,1968,167514.58
Russia,RUS,1969,188171.34
Russia,RUS,1970,207380.56
Russia,RUS,1971,215741.5
Russia,RUS,1972,219632.81
Russia,RUS,1973,222892.45
Russia,RUS,1974,220295.3
Russia,RUS,1975,238632.86
Russia,RUS,1976,247744.66
Russia,RUS,1977,244893.53
Russia,RUS,1978,258199.88
Russia,RUS,1979,293068.66
Russia,RUS,1980,308862.44
Russia,RUS,1981,319765.12
Russia,RUS,1982,328207.9
Russia,RUS,1983,326065.66
Russia,RUS,1984,333293.94
Russia,RUS,1985,341147.9
Russia,RUS,1986,345006.94
Russia,RUS,1987,349380.12
Russia,RUS,1988,351963.3
Russia,RUS,1989,350276.03
Russia,RUS,1990,326627.03
Russia,RUS,1991,290518.34
Russia,RUS,1992,274387.53
Russia,RUS,1993,251638.14
Russia,RUS,1994,219524.39
Russia,RUS,1995,194629.77
Russia,RUS,1996,190786.08
Russia,RUS,1997,185276.84
Russia,RUS,1998,182646
Russia,RUS,1999,180874.06
Russia,RUS,2000,180874.06
Russia,RUS,2001,147384.98
Russia,RUS,2002,143595.73
Russia,RUS,2003,139690.4
Russia,RUS,2004,124535.63
Russia,RUS,2005,111188.34
Russia,RUS,2006,100185.5
Russia,RUS,2007,92988.89
Russia,RUS,2008,85297.05
Russia,RUS,2009,75950.586
Russia,RUS,2010,65181.14
South Africa,ZAF,1982,9.009426
South Africa,ZAF,1983,9.009426
South Africa,ZAF,1984,12.012568
South Africa,ZAF,1985,15.015711
South Africa,ZAF,1986,15.015711
South Africa,ZAF,1987,15.015711
South Africa,ZAF,1988,15.015711
South Africa,ZAF,1989,15.015711
South Africa,ZAF,1990,15.015711
United Kingdom,GBR,1952,0
United Kingdom,GBR,1953,0
United Kingdom,GBR,1954,0
United Kingdom,GBR,1955,121.89724
United Kingdom,GBR,1956,731.3834
United Kingdom,GBR,1957,883.75494
United Kingdom,GBR,1958,939.88916
United Kingdom,GBR,1959,1445.0964
United Kingdom,GBR,1960,1922.2368
United Kingdom,GBR,1961,4507.237
United Kingdom,GBR,1962,6467.831
United Kingdom,GBR,1963,7062.0356
United Kingdom,GBR,1964,7062.0356
United Kingdom,GBR,1965,7062.0356
United Kingdom,GBR,1966,7342.707
United Kingdom,GBR,1967,7904.0483
United Kingdom,GBR,1968,3498.2505
United Kingdom,GBR,1969,3055.8872
United Kingdom,GBR,1970,3376.96
United Kingdom,GBR,1971,3713.765
United Kingdom,GBR,1972,4218.972
United Kingdom,GBR,1973,6520.472
United Kingdom,GBR,1974,6520.472
United Kingdom,GBR,1975,6520.472
United Kingdom,GBR,1976,6520.472
United Kingdom,GBR,1977,6520.472
United Kingdom,GBR,1978,6520.472
United Kingdom,GBR,1979,6520.472
United Kingdom,GBR,1980,6520.472
United Kingdom,GBR,1981,6520.472
United Kingdom,GBR,1982,5436.1777
United Kingdom,GBR,1983,945.44525
United Kingdom,GBR,1984,759.29663
United Kingdom,GBR,1985,573.1481
United Kingdom,GBR,1986,573.1481
United Kingdom,GBR,1987,386.9996
United Kingdom,GBR,1988,386.9996
United Kingdom,GBR,1989,386.9996
United Kingdom,GBR,1990,386.9996
United Kingdom,GBR,1991,386.9996
United Kingdom,GBR,1992,386.9996
United Kingdom,GBR,1993,386.9996
United Kingdom,GBR,1994,386.9996
United Kingdom,GBR,1995,824.8942
United Kingdom,GBR,1996,1069.2891
United Kingdom,GBR,1997,1069.2891
United Kingdom,GBR,1998,1603.9335
United Kingdom,GBR,1999,1603.9335
United Kingdom,GBR,2000,1603.9335
United Kingdom,GBR,2001,1603.9335
United Kingdom,GBR,2002,1603.9335
United Kingdom,GBR,2003,1603.9335
United Kingdom,GBR,2004,1603.9335
United Kingdom,GBR,2005,1603.9335
United Kingdom,GBR,2006,1603.9335
United Kingdom,GBR,2007,1603.9335
United Kingdom,GBR,2008,1603.9335
United Kingdom,GBR,2009,1603.9335
United Kingdom,GBR,2010,1603.9335
United States,USA,1945,7.8704596
United States,USA,1946,35.41707
United States,USA,1947,51.157986
United States,USA,1948,196.76149
United States,USA,1949,617.32947
United States,USA,1950,1147.9268
United States,USA,1951,6673.874
United States,USA,1952,10056.521
United States,USA,1953,8584.245
United States,USA,1954,43143.664
United States,USA,1955,195628.16
United States,USA,1956,466726.6
United States,USA,1957,495862.28
United States,USA,1958,494558.78
United States,USA,1959,471783.9
United States,USA,1960,556559.1
United States,USA,1961,495357.9
United States,USA,1962,600907.4
United States,USA,1963,560497.44
United States,USA,1964,518200.25
United States,USA,1965,497326.12
United States,USA,1966,508370.78
United States,USA,1967,535606.3
United States,USA,1968,533035.06
United States,USA,1969,522305.34
United States,USA,1970,511757.6
United States,USA,1971,498310.66
United States,USA,1972,565566.25
United States,USA,1973,511123.97
United States,USA,1974,463907.62
United States,USA,1975,455679.1
United States,USA,1976,468936.47
United States,USA,1977,469776.28
United States,USA,1978,469594.62
United States,USA,1979,470200.7
United States,USA,1980,470281.28
United States,USA,1981,469472.84
United States,USA,1982,408805.1
United States,USA,1983,356834.84
United States,USA,1984,347539.12
United States,USA,1985,337653.7
United States,USA,1986,339765.75
United States,USA,1987,361960.28
United States,USA,1988,306185.6
United States,USA,1989,299271.94
United States,USA,1990,289992.34
United States,USA,1991,235439.16
United States,USA,1992,199312.8
United States,USA,1993,190536.08
United States,USA,1994,179892.88
United States,USA,1995,162672.9
United States,USA,1996,162950.28
United States,USA,1997,143365.75
United States,USA,1998,120204.16
United States,USA,1999,127442.16
United States,USA,2000,127442.16
United States,USA,2001,127442.16
United States,USA,2002,118939.95
United States,USA,2003,113949.85
United States,USA,2004,109797.34
United States,USA,2005,93634.95
United States,USA,2006,91318.06
United States,USA,2007,91318.06
United States,USA,2008,66668.74
United States,USA,2009,67485.01
United States,USA,2010,52021.895